"","Geography","Geographic_Area_Name","Estimate_Total","Estimate_Total_5_to_17_years","Estimate_Total_5_to_17_years_Speak_only_English","Estimate_Total_5_to_17_years_Speak_Spanish","Estimate_Total_5_to_17_years_Speak_other_Indo-European_languages","Estimate_Total_5_to_17_years_Speak_Asian_and_Pacific_Island_languages","Estimate_Total_5_to_17_years_Speak_other_languages","Estimate_Total_18_years_and_over","Estimate_Total_18_years_and_over_Speak_Spanish","Estimate_Total_18_years_and_over_Speak_other_Indo-European_languages","Estimate_Total_18_years_and_over_Speak_Asian_and_Pacific_Island_languages","Estimate_Total_18_years_and_over_Speak_other_languages","NA"
"2","1400000US12001000201","Census Tract 2.01; Alachua County; Florida","9","0","0","0","0","0","0","9","0","0","9","0",NA
"3","1400000US12001000202","Census Tract 2.02; Alachua County; Florida","61","0","0","0","0","0","0","61","0","61","0","0",NA
"4","1400000US12001000301","Census Tract 3.01; Alachua County; Florida","87","0","0","0","0","0","0","87","58","0","29","0",NA
"5","1400000US12001000302","Census Tract 3.02; Alachua County; Florida","32","0","0","0","0","0","0","32","32","0","0","0",NA
"6","1400000US12001000400","Census Tract 4; Alachua County; Florida","15","0","0","0","0","0","0","15","0","15","0","0",NA
"7","1400000US12001000500","Census Tract 5; Alachua County; Florida","0","0","0","0","0","0","0","0","0","0","0","0",NA
"8","1400000US12001000600","Census Tract 6; Alachua County; Florida","0","0","0","0","0","0","0","0","0","0","0","0",NA
"9","1400000US12001000700","Census Tract 7; Alachua County; Florida","27","0","0","0","0","0","0","27","27","0","0","0",NA
"10","1400000US12001000806","Census Tract 8.06; Alachua County; Florida","103","0","0","0","0","0","0","103","34","59","10","0",NA
"11","1400000US12001000808","Census Tract 8.08; Alachua County; Florida","41","0","0","0","0","0","0","41","0","0","41","0",NA
"12","1400000US12001000809","Census Tract 8.09; Alachua County; Florida","22","0","0","0","0","0","0","22","0","7","15","0",NA
"13","1400000US12001000901","Census Tract 9.01; Alachua County; Florida","86","0","0","0","0","0","0","86","37","0","49","0",NA
"14","1400000US12001000902","Census Tract 9.02; Alachua County; Florida","133","35","0","0","0","35","0","98","12","0","86","0",NA
"15","1400000US12001001000","Census Tract 10; Alachua County; Florida","33","0","0","0","0","0","0","33","33","0","0","0",NA
"16","1400000US12001001100","Census Tract 11; Alachua County; Florida","143","0","0","0","0","0","0","143","65","0","78","0",NA
"17","1400000US12001001201","Census Tract 12.01; Alachua County; Florida","15","0","0","0","0","0","0","15","15","0","0","0",NA
"18","1400000US12001001202","Census Tract 12.02; Alachua County; Florida","36","0","0","0","0","0","0","36","36","0","0","0",NA
"19","1400000US12001001203","Census Tract 12.03; Alachua County; Florida","0","0","0","0","0","0","0","0","0","0","0","0",NA
"20","1400000US12001001400","Census Tract 14; Alachua County; Florida","17","0","0","0","0","0","0","17","5","8","4","0",NA
"21","1400000US12001001514","Census Tract 15.14; Alachua County; Florida","26","0","0","0","0","0","0","26","0","0","26","0",NA
"22","1400000US12001001515","Census Tract 15.15; Alachua County; Florida","73","0","0","0","0","0","0","73","0","0","73","0",NA
"23","1400000US12001001516","Census Tract 15.16; Alachua County; Florida","84","0","0","0","0","0","0","84","67","0","17","0",NA
"24","1400000US12001001517","Census Tract 15.17; Alachua County; Florida","250","0","0","0","0","0","0","250","163","16","71","0",NA
"25","1400000US12001001519","Census Tract 15.19; Alachua County; Florida","0","0","0","0","0","0","0","0","0","0","0","0",NA
"26","1400000US12001001522","Census Tract 15.22; Alachua County; Florida","270","29","29","0","0","0","0","241","76","112","53","0",NA
"27","1400000US12001001605","Census Tract 16.05; Alachua County; Florida","0","0","0","0","0","0","0","0","0","0","0","0",NA
"28","1400000US12001001701","Census Tract 17.01; Alachua County; Florida","130","0","0","0","0","0","0","130","111","0","19","0",NA
"29","1400000US12001001702","Census Tract 17.02; Alachua County; Florida","0","0","0","0","0","0","0","0","0","0","0","0",NA
"30","1400000US12001001802","Census Tract 18.02; Alachua County; Florida","14","0","0","0","0","0","0","14","14","0","0","0",NA
"31","1400000US12001001803","Census Tract 18.03; Alachua County; Florida","406","106","106","0","0","0","0","300","277","0","23","0",NA
"32","1400000US12001001811","Census Tract 18.11; Alachua County; Florida","90","20","0","0","20","0","0","70","0","30","10","30",NA
"33","1400000US12001001813","Census Tract 18.13; Alachua County; Florida","32","0","0","0","0","0","0","32","0","20","0","12",NA
"34","1400000US12001001815","Census Tract 18.15; Alachua County; Florida","0","0","0","0","0","0","0","0","0","0","0","0",NA
"35","1400000US12001001816","Census Tract 18.16; Alachua County; Florida","0","0","0","0","0","0","0","0","0","0","0","0",NA
"36","1400000US12001001817","Census Tract 18.17; Alachua County; Florida","121","24","0","0","24","0","0","97","0","97","0","0",NA
"37","1400000US12001001818","Census Tract 18.18; Alachua County; Florida","133","51","0","0","51","0","0","82","0","82","0","0",NA
"38","1400000US12001001819","Census Tract 18.19; Alachua County; Florida","0","0","0","0","0","0","0","0","0","0","0","0",NA
"39","1400000US12001001902","Census Tract 19.02; Alachua County; Florida","90","0","0","0","0","0","0","90","49","41","0","0",NA
"40","1400000US12001001907","Census Tract 19.07; Alachua County; Florida","58","0","0","0","0","0","0","58","58","0","0","0",NA
"41","1400000US12001001908","Census Tract 19.08; Alachua County; Florida","8","0","0","0","0","0","0","8","8","0","0","0",NA
"42","1400000US12001002001","Census Tract 20.01; Alachua County; Florida","11","0","0","0","0","0","0","11","11","0","0","0",NA
"43","1400000US12001002002","Census Tract 20.02; Alachua County; Florida","16","0","0","0","0","0","0","16","13","3","0","0",NA
"44","1400000US12001002101","Census Tract 21.01; Alachua County; Florida","16","0","0","0","0","0","0","16","0","11","5","0",NA
"45","1400000US12001002102","Census Tract 21.02; Alachua County; Florida","3","0","0","0","0","0","0","3","3","0","0","0",NA
"46","1400000US12001002201","Census Tract 22.01; Alachua County; Florida","127","36","0","0","36","0","0","91","39","52","0","0",NA
"47","1400000US12001002202","Census Tract 22.02; Alachua County; Florida","0","0","0","0","0","0","0","0","0","0","0","0",NA
"48","1400000US12001002204","Census Tract 22.04; Alachua County; Florida","177","0","0","0","0","0","0","177","41","0","136","0",NA
"49","1400000US12001002207","Census Tract 22.07; Alachua County; Florida","23","0","0","0","0","0","0","23","0","23","0","0",NA
"50","1400000US12001002208","Census Tract 22.08; Alachua County; Florida","0","0","0","0","0","0","0","0","0","0","0","0",NA
"51","1400000US12001002209","Census Tract 22.09; Alachua County; Florida","25","0","0","0","0","0","0","25","25","0","0","0",NA
"52","1400000US12001002210","Census Tract 22.10; Alachua County; Florida","15","0","0","0","0","0","0","15","0","15","0","0",NA
"53","1400000US12001002217","Census Tract 22.17; Alachua County; Florida","178","0","0","0","0","0","0","178","53","15","110","0",NA
"54","1400000US12001002218","Census Tract 22.18; Alachua County; Florida","65","0","0","0","0","0","0","65","52","0","13","0",NA
"55","1400000US12001002219","Census Tract 22.19; Alachua County; Florida","89","0","0","0","0","0","0","89","43","31","15","0",NA
"56","1400000US12001002220","Census Tract 22.20; Alachua County; Florida","0","0","0","0","0","0","0","0","0","0","0","0",NA
"57","1400000US12001002221","Census Tract 22.21; Alachua County; Florida","60","11","0","11","0","0","0","49","19","0","30","0",NA
"58","1400000US12001002222","Census Tract 22.22; Alachua County; Florida","0","0","0","0","0","0","0","0","0","0","0","0",NA
"59","1400000US12001110800","Census Tract 1108; Alachua County; Florida","19","0","0","0","0","0","0","19","0","19","0","0",NA
