"","Geography","Geographic_Area_Name","Estimate_Total","Estimate_Total_Native","Estimate_Total_Native_Born_in_state_of_residence","Estimate_Total_Native_Born_in_other_state_in_the_United_States","Estimate_Total_Native_Born_in_other_state_in_the_United_States_Northeast","Estimate_Total_Native_Born_in_other_state_in_the_United_States_Midwest","Estimate_Total_Native_Born_in_other_state_in_the_United_States_South","Estimate_Total_Native_Born_in_other_state_in_the_United_States_West","Estimate_Total_Native_Born_outside_the_United_States","Estimate_Total_Native_Born_outside_the_United_States_Puerto_Rico","Estimate_Total_Native_Born_outside_the_United_States_U.S._Island_Areas","Estimate_Total_Native_Born_outside_the_United_States_Born_abroad_of_American_parent(s)","Estimate_Total_Foreign_born","Estimate_Total_Foreign_born_Naturalized_U.S._citizen","Estimate_Total_Foreign_born_Naturalized_U.S._citizen_Europe","Estimate_Total_Foreign_born_Naturalized_U.S._citizen_Asia","Estimate_Total_Foreign_born_Naturalized_U.S._citizen_Africa","Estimate_Total_Foreign_born_Naturalized_U.S._citizen_Oceania","Estimate_Total_Foreign_born_Naturalized_U.S._citizen_Latin_America","Estimate_Total_Foreign_born_Naturalized_U.S._citizen_Northern_America","Estimate_Total_Foreign_born_Not_a_U.S._citizen","Estimate_Total_Foreign_born_Not_a_U.S._citizen_Europe","Estimate_Total_Foreign_born_Not_a_U.S._citizen_Asia","Estimate_Total_Foreign_born_Not_a_U.S._citizen_Africa","Estimate_Total_Foreign_born_Not_a_U.S._citizen_Oceania","Estimate_Total_Foreign_born_Not_a_U.S._citizen_Latin_America","Estimate_Total_Foreign_born_Not_a_U.S._citizen_Northern_America","NA"
"2","1400000US12001000200","Census Tract 2, Alachua County, Florida","7557","6935","4607","2206","721","288","1004","193","122","0","24","98","622","243","49","85","28","0","81","0","379","29","54","7","0","247","42",NA
"3","1400000US12001000301","Census Tract 3.01, Alachua County, Florida","4426","4113","2567","1459","367","345","396","351","87","60","0","27","313","214","57","102","5","0","50","0","99","27","44","0","0","0","28",NA
"4","1400000US12001000302","Census Tract 3.02, Alachua County, Florida","2319","2147","1253","822","363","167","223","69","72","35","0","37","172","129","0","6","0","0","113","10","43","19","0","3","0","21","0",NA
"5","1400000US12001000400","Census Tract 4, Alachua County, Florida","6256","5715","3892","1783","589","405","591","198","40","40","0","0","541","226","9","70","32","0","115","0","315","0","189","45","0","47","34",NA
"6","1400000US12001000500","Census Tract 5, Alachua County, Florida","4973","4605","2590","1924","667","614","371","272","91","16","0","75","368","77","16","15","0","0","46","0","291","54","56","0","0","148","33",NA
"7","1400000US12001000600","Census Tract 6, Alachua County, Florida","4963","4903","4297","558","179","129","228","22","48","8","12","28","60","31","0","8","0","0","23","0","29","0","0","17","0","12","0",NA
"8","1400000US12001000700","Census Tract 7, Alachua County, Florida","6505","6017","4774","1069","416","158","472","23","174","0","14","160","488","137","0","0","0","0","137","0","351","0","0","24","0","327","0",NA
"9","1400000US12001000806","Census Tract 8.06, Alachua County, Florida","2526","1745","933","791","267","190","269","65","21","4","0","17","781","183","11","118","6","0","48","0","598","24","352","9","0","184","29",NA
"10","1400000US12001000808","Census Tract 8.08, Alachua County, Florida","3430","2875","1636","1161","378","392","316","75","78","47","0","31","555","201","16","83","8","0","94","0","354","22","173","9","0","150","0",NA
"11","1400000US12001000809","Census Tract 8.09, Alachua County, Florida","1287","1072","520","510","143","135","211","21","42","38","0","4","215","64","14","17","0","0","33","0","151","6","112","0","0","27","6",NA
"12","1400000US12001000901","Census Tract 9.01, Alachua County, Florida","4403","3673","2266","1236","533","281","300","122","171","6","21","144","730","119","2","29","19","2","60","7","611","53","393","71","0","92","2",NA
"13","1400000US12001000902","Census Tract 9.02, Alachua County, Florida","6684","6143","3782","2138","791","413","641","293","223","44","1","178","541","237","26","62","5","5","133","6","304","53","113","37","0","98","3",NA
"14","1400000US12001001000","Census Tract 10, Alachua County, Florida","5703","5513","3579","1880","702","471","539","168","54","0","0","54","190","135","51","48","0","0","36","0","55","0","0","0","0","55","0",NA
